City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuatapere,66,NZ,1597077046,90,-46.13,167.68,46.99,10.0
Bredasdorp,0,ZA,1597077046,67,-34.53,20.04,60.8,5.82
Philadelphia,20,US,1597077033,58,39.95,-75.16,93.0,6.93
Arraial do Cabo,0,BR,1597077046,48,-22.97,-42.03,82.4,16.11
Airai,81,TL,1597077046,100,-8.93,125.41,58.71,1.45
Avarua,0,CK,1597077047,73,-21.21,-159.78,71.6,6.93
Hermanus,5,ZA,1597077047,76,-34.42,19.23,59.0,1.01
Lüderitz,0,NA,1597077047,63,-26.65,15.16,62.6,17.22
Yellowknife,75,CA,1597077005,77,62.46,-114.35,64.4,11.41
Castro,0,BR,1597077047,44,-24.79,-50.01,73.51,8.63
Bengkulu,68,ID,1597077048,89,-3.8,102.27,78.22,5.61
Ponta do Sol,40,PT,1597077048,61,32.67,-17.1,77.0,17.22
Punta Arenas,40,CL,1597077048,74,-53.15,-70.92,32.0,20.8
Saskylakh,19,RU,1597077048,74,71.92,114.08,39.36,6.02
Jamestown,40,US,1597076891,65,42.1,-79.24,82.99,12.75
Sola,20,VU,1597077048,94,-13.88,167.55,75.2,13.82
Richards Bay,0,ZA,1597077049,59,-28.78,32.04,63.36,5.7
Kayes,40,ML,1597077049,66,14.0,-11.0,91.4,9.17
Mount Isa,0,AU,1597077049,70,-20.73,139.5,44.6,7.83
Sioux Lookout,40,CA,1597077049,49,50.1,-91.92,69.8,10.29
Nouadhibou,0,MR,1597076968,65,20.93,-17.03,78.8,20.8
Butaritari,97,KI,1597077049,77,3.07,172.79,82.15,14.94
Nikolskoye,40,RU,1597077050,45,59.7,30.79,68.0,15.66
Rawson,55,AR,1597077050,54,-43.3,-65.1,44.94,36.48
Svetlaya,74,RU,1597077050,92,46.54,138.33,62.24,4.61
Bethel,1,US,1597076878,51,41.37,-73.41,90.0,3.96
Hobyo,34,SO,1597077050,73,5.35,48.53,75.7,29.66
Kombissiri,20,BF,1597077050,70,12.07,-1.34,86.0,8.05
Ndélé,95,CF,1597077050,95,8.41,20.65,72.84,2.71
Thunder Bay,75,CA,1597077050,68,48.4,-89.32,73.99,12.75
São Benedito do Rio Preto,40,BR,1597077050,33,-3.33,-43.53,95.29,4.43
Ushuaia,75,AR,1597077051,74,-54.8,-68.3,33.8,3.36
Albany,3,US,1597076966,61,42.6,-73.97,88.0,2.37
Morgan City,1,US,1597077051,62,29.7,-91.21,91.0,3.36
Mar del Plata,40,AR,1597077051,66,-38.0,-57.56,55.99,12.75
Bandarbeyla,9,SO,1597077051,73,9.49,50.81,76.6,34.27
Dubai,0,AE,1597077001,60,25.26,55.3,99.0,9.17
Rikitea,47,PF,1597077051,74,-23.12,-134.97,69.84,19.33
Ugoofaaru,72,MV,1597077051,76,5.67,73.0,82.9,15.1
Ilulissat,40,GL,1597077052,75,69.22,-51.1,41.0,9.17
Chui,18,UY,1597077052,68,-33.7,-53.46,71.22,9.62
Zemio,98,CF,1597077052,93,5.03,25.14,72.82,1.12
Nelson Bay,40,AU,1597077052,100,-32.72,152.15,54.0,11.41
Dingle,98,PH,1597077052,84,11.0,122.67,77.94,3.62
Alihe,96,CN,1597077052,89,50.57,123.72,58.17,2.57
Gornopravdinsk,37,RU,1597077052,66,60.05,69.9,69.22,6.98
Río Gallegos,40,AR,1597077052,64,-51.62,-69.22,35.6,23.04
